VertexFrom VertexTo TimeStart TimeStop
BusFlowWestEast01 VehicleFlowWestToEast_025 2 2
BusFlowWestEast01 VehicleFlowEastToWest_014 2 2
VehicleFlowSouthToWest9 VehicleFlowWestToEast43 2 2
VehicleFlowSouthToWest9 VehicleFlowWestToEast44 2 2
VehicleFlowSouthToWest9 VehicleFlowSouthToWest7 2 2
VehicleFlowSouthToWest9 VehicleFlowEastToWest_18 2 2
VehicleFlowSouthToWest9 VehicleFlowEastToWest_17 2 2
VehicleFlowSouthToWest9 VehicleFlowWestToNorth14 2 2
VehicleFlowSouthToWest9 VehicleFlowSouthToWest10 2 2
VehicleFlowSouthToWest9 VehicleFlowEastToWest_010 2 2
VehicleFlowSouthToWest8 VehicleFlowEastToWest9 2 2
VehicleFlowSouthToWest8 VehicleFlowNorthToWest7 2 2
VehicleFlowSouthToWest8 VehicleFlowNorthToWest6 2 2
VehicleFlowSouthToWest8 VehicleFlowWestToEast45 2 2
VehicleFlowSouthToWest8 VehicleFlowWestToEast44 2 2
VehicleFlowSouthToWest8 VehicleFlowSouthToWest7 2 2
VehicleFlowSouthToWest8 VehicleFlowEastToWest_18 2 2
VehicleFlowSouthToWest8 VehicleFlowEastToWest_17 2 2
VehicleFlowSouthToWest7 VehicleFlowEastToWest9 2 2
VehicleFlowSouthToWest7 VehicleFlowNorthToWest7 2 2
VehicleFlowSouthToWest7 VehicleFlowNorthToWest6 2 2
VehicleFlowSouthToWest7 VehicleFlowWestToEast45 2 2
VehicleFlowSouthToWest7 VehicleFlowWestToEast44 2 2
VehicleFlowSouthToWest7 VehicleFlowSouthToWest9 2 2
VehicleFlowSouthToWest7 VehicleFlowSouthToWest8 2 2
VehicleFlowSouthToWest7 VehicleFlowEastToWest_18 2 2
VehicleFlowSouthToWest7 VehicleFlowEastToWest_17 2 2
VehicleFlowSouthToWest7 VehicleFlowEastToWest_010 2 2
VehicleFlowSouthToWest6 VehicleFlowEastToWest6 2 2
VehicleFlowSouthToWest6 VehicleFlowEastToWest_08 2 2
VehicleFlowSouthToWest6 VehicleFlowNorthToWest5 2 2
VehicleFlowSouthToWest6 VehicleFlowSouthToWest5 2 2
VehicleFlowSouthToWest6 VehicleFlowEastToWest7 2 2
VehicleFlowSouthToWest6 VehicleFlowEastToWest8 2 2
VehicleFlowSouthToWest6 VehicleFlowEastToWest_16 2 2
VehicleFlowSouthToWest6 VehicleFlowEastToWest_15 2 2
VehicleFlowSouthToWest6 VehicleFlowEastToWest_09 2 2
VehicleFlowSouthToWest5 VehicleFlowEastToWest6 2 2
VehicleFlowSouthToWest5 VehicleFlowEastToWest_08 2 2
VehicleFlowSouthToWest5 VehicleFlowNorthToWest5 2 2
VehicleFlowSouthToWest5 VehicleFlowSouthToWest6 2 2
VehicleFlowSouthToWest5 VehicleFlowEastToWest7 2 2
VehicleFlowSouthToWest5 VehicleFlowEastToWest8 2 2
VehicleFlowSouthToWest5 VehicleFlowEastToWest_16 2 2
VehicleFlowSouthToWest5 VehicleFlowEastToWest_15 2 2
VehicleFlowSouthToWest5 VehicleFlowEastToWest_09 2 2
VehicleFlowSouthToWest4 VehicleFlowEastToWest6 2 2
VehicleFlowSouthToWest4 VehicleFlowEastToWest_07 2 2
VehicleFlowSouthToWest4 VehicleFlowNorthToWest5 2 2
VehicleFlowSouthToWest4 VehicleFlowEastToWest7 2 2
VehicleFlowSouthToWest4 VehicleFlowEastToWest_15 2 2
VehicleFlowWestToEast6 VehicleFlowEastToWest_115 2 2
VehicleFlowWestToEast6 VehicleFlowWestToEast_09 2 2
VehicleFlowWestToEast7 VehicleFlowWestToEast_016 2 2
VehicleFlowWestToEast7 VehicleFlowSouthToEast5 2 2
VehicleFlowWestToEast7 VehicleFlowWestToEast13 2 2
VehicleFlowWestToEast7 VehicleFlowWestToEast10 2 2
VehicleFlowWestToEast7 VehicleFlowWestToEast11 2 2
VehicleFlowWestToEast7 VehicleFlowWestToEast14 2 2
VehicleFlowWestToEast7 VehicleFlowEastToWest_113 2 2
VehicleFlowWestToEast7 VehicleFlowWestToEast_015 2 2
VehicleFlowWestToEast7 VehicleFlowWestToEast_014 2 2
VehicleFlowWestToEast7 VehicleFlowWestToEast_012 2 2
VehicleFlowWestToEast7 VehicleFlowEastToWest15 2 2
VehicleFlowWestToEast7 VehicleFlowEastToWest_016 2 2
VehicleFlowNorthToEast3 VehicleFlowNorthToWest9 2 2
